question,commenter_url
How can I get a text file of all of a Quora user's followers?,http://www.quora.com/Alex-Kamil
How can I get a text file of all of a Quora user's followers?,http://www.quora.com/Stormy-Shippy
How can I get a text file of all of a Quora user's followers?,http://www.quora.com/Achilleas-Vortselas
How can I get a text file of all of a Quora user's followers?,http://www.quora.com/Stormy-Shippy
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/William-Harris
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/Stormy-Shippy
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/Lisa-Borodkin
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/Stormy-Shippy
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/Lisa-Borodkin
What questions were asked in the Jeopardy episode involving Watson?,http://www.quora.com/Lisa-Borodkin
"If a 10-year-old wanted to start programming today, what language path would be the most valuable moving forward?",http://www.quora.com/Devon-MT-Loffreto
"If a 10-year-old wanted to start programming today, what language path would be the most valuable moving forward?",http://www.quora.com/Brendan-Lee
"If a 10-year-old wanted to start programming today, what language path would be the most valuable moving forward?",http://www.quora.com/Matt-Langley
"If a 10-year-old wanted to start programming today, what language path would be the most valuable moving forward?",http://www.quora.com/Sean-Lancaster
What are the best resources to learn about graph theory?,http://www.quora.com/Abhinav-Sharma
"Which
 education startup (company with less than $10MM in funding / revenue) 
will be the most disruptive in the coming decade and why?",http://www.quora.com/Vicki-Dhiman
"Which
 education startup (company with less than $10MM in funding / revenue) 
will be the most disruptive in the coming decade and why?",http://www.quora.com/Kirsten-Winkler
"Which
 education startup (company with less than $10MM in funding / revenue) 
will be the most disruptive in the coming decade and why?",http://www.quora.com/Sangeeta-Narayan
"Which
 education startup (company with less than $10MM in funding / revenue) 
will be the most disruptive in the coming decade and why?",http://www.quora.com/Doug-Roberts
"Which
 education startup (company with less than $10MM in funding / revenue) 
will be the most disruptive in the coming decade and why?",http://www.quora.com/Kirsten-Winkler
